date,meme,index,benchmarked_index,twitter_id
2/5/17,What Redbone Sounds Like,2.0,0.1,863645128929361920
2/5/17,Mocking Spongebob,0.1,0.1,861717771859755008
2/5/17,The Future Liberals Want,0.1,0.1,837316461077069824
2/5/17,Expanding Brain,0.1,0.1,831329672558424064
2/5/17,The Floor Is,1.0,0.1,724263091383484416
2/5/17,Kendall Jenner's Pepsi Ad,3.0,1.0,849404357485481984
2/5/17,Fidget Spinners,0.1,0.1,865601318483746817
2/5/17,Pennywise Dancing,1.0,0.1,908437160407257088
2/5/17,"Homeboy's gonna, like, get it",0.1,0.1,916988637866229761
2/5/17,Trump's Glowing Orb,0.1,0.1,866390578258464770
2/5/17,George Bush's Poncho,10.0,0.1,822501259164995584
2/5/17,BBC Dad,1.0,0.1,840208087118151681
2/5/17,Trump and Pope Francis,0.1,0.1,867295516362776576
2/5/17,#GetOutChallenge,9.0,2.0,838459143161851906
2/5/17,Tyrese Crying,0.1,0.1,926294316183584768
2/5/17,Covfefe,0.1,0.1,869897666741755905
2/5/17,Monkey Haircut,0.1,0.1,913097760903172097
2/5/17,United Airlines Passenger Removal,0.1,0.1,851602092468731906
2/5/17,Game of Thrones,7.0,2.0,892008967160958976
2/5/17,What in Tarnation,4.0,3.0,819377307018231808
2/5/17,Student Athlete,0.1,0.1,840618151117111296
2/5/17,Ben Swolo,0.1,0.1,941587160783659008
2/5/17,Cash Me Outside,26.0,26.0,809084339887734790
2/12/17,Salt Bae,25.0,8.0,817901590141161472
2/12/17,The Ting Goes,2.0,0.1,904208633386369024
2/12/17,Obama & Biden Bromance,7.0,1.0,820045837891870720
2/12/17,Sad Melania,6.0,1.0,823345977029378048
2/12/17,Trump Holding Executive Orders,29.0,2.0,826314938872246273
2/12/17,The Oscars Snafu,3.0,0.1,836084689752494080
2/12/17,Crying Northwestern Kid,14.0,0.1,843242225463046145
2/12/17,Babadook,3.0,0.1,871144014484873217
2/12/17,The Snapchat Hot Dog,2.0,1.0,884621965209858048
2/12/17,Distracted Boyfriend,1.0,0.1,899935787227262976
2/12/17,Joel Osteen Hiding from Harvey Victims,2.0,0.1,902324163339096064
2/12/17,Elf on the Shelf Rhymes,0.1,0.1,908300412884865024
2/12/17,First of All,1.0,0.1,919670609910685703
2/12/17,#BowWowChallenge,0.1,0.1,862294898501931008
2/12/17,Crash Bandicoot Woah,13.0,1.0,892798447362953216
2/12/17,"Brother, May I have some Oats",6.0,0.1,785681417078345728
2/12/17,Side-eyeing Michelle Obama,4.0,1.0,822526328394158081
2/12/17,Dancing Winnie the Pooh,14.0,1.0,825977359643840513
2/12/17,Tiny Trump,34.0,2.0,832627609234075650
2/12/17,RompHim,0.1,0.1,864550584006971397
2/12/17,Shooting Stars,34.0,7.0,841420725747507201
2/12/17,Cracking Open a Cold One with the Boys,0.1,0.1,869692034319237120
2/12/17,Roll Safe,78.0,11.0,826511751151771649
2/12/17,White Guy Blinking,12.0,2.0,832939284948779010
2/12/17,Meryl Streep Singing,1.0,0.1,843514431590031366
2/12/17,"Kendrick Lamar ""DAMN"" Cover",5.0,0.1,851798361841840129
2/12/17,Kellyanne Conway on the Couch,0.1,0.1,836402961030881280
2/12/17,What Redbone Sounds Like,3.0,0.1,863645128929361920
2/12/17,Mocking Spongebob,0.1,0.1,861717771859755008
2/12/17,The Future Liberals Want,0.1,0.1,837316461077069824
2/12/17,Expanding Brain,0.1,0.1,831329672558424064
2/12/17,The Floor Is,1.0,0.1,724263091383484416
2/12/17,Kendall Jenner's Pepsi Ad,3.0,1.0,849404357485481984
2/12/17,Fidget Spinners,1.0,0.1,865601318483746817
2/12/17,Pennywise Dancing,1.0,0.1,908437160407257088
2/12/17,"Homeboy's gonna, like, get it",0.1,0.1,916988637866229761
2/12/17,Trump's Glowing Orb,1.0,0.1,866390578258464770
2/12/17,George Bush's Poncho,4.0,0.1,822501259164995584
2/12/17,BBC Dad,1.0,0.1,840208087118151681
2/12/17,Trump and Pope Francis,1.0,0.1,867295516362776576
2/12/17,#GetOutChallenge,10.0,3.0,838459143161851906
2/12/17,Tyrese Crying,0.1,0.1,926294316183584768
2/12/17,Covfefe,0.1,0.1,869897666741755905
2/12/17,Monkey Haircut,1.0,0.1,913097760903172097
2/12/17,United Airlines Passenger Removal,0.1,0.1,851602092468731906
2/12/17,Game of Thrones,8.0,2.0,892008967160958976
2/12/17,What in Tarnation,4.0,2.0,819377307018231808
2/12/17,Student Athlete,0.1,0.1,840618151117111296
2/12/17,Ben Swolo,0.1,0.1,941587160783659008
2/12/17,Cash Me Outside,16.0,16.0,809084339887734790
2/19/17,Salt Bae,20.0,6.0,817901590141161472
2/19/17,The Ting Goes,1.0,0.1,904208633386369024
2/19/17,Obama & Biden Bromance,5.0,1.0,820045837891870720
2/19/17,Sad Melania,2.0,0.1,823345977029378048
2/19/17,Trump Holding Executive Orders,9.0,1.0,826314938872246273
2/19/17,The Oscars Snafu,4.0,1.0,836084689752494080
2/19/17,Crying Northwestern Kid,7.0,0.1,843242225463046145
2/19/17,Babadook,2.0,0.1,871144014484873217
2/19/17,The Snapchat Hot Dog,2.0,1.0,884621965209858048
2/19/17,Distracted Boyfriend,1.0,0.1,899935787227262976
2/19/17,Joel Osteen Hiding from Harvey Victims,0.1,0.1,902324163339096064
2/19/17,Elf on the Shelf Rhymes,0.1,0.1,908300412884865024
2/19/17,First of All,1.0,0.1,919670609910685703
2/19/17,#BowWowChallenge,0.1,0.1,862294898501931008
2/19/17,Crash Bandicoot Woah,12.0,1.0,892798447362953216
2/19/17,"Brother, May I have some Oats",6.0,0.1,785681417078345728
2/19/17,Side-eyeing Michelle Obama,4.0,0.1,822526328394158081
2/19/17,Dancing Winnie the Pooh,8.0,0.1,825977359643840513
2/19/17,Tiny Trump,100.0,5.0,832627609234075650
2/19/17,RompHim,0.1,0.1,864550584006971397
2/19/17,Shooting Stars,100.0,21.0,841420725747507201
2/19/17,Cracking Open a Cold One with the Boys,1.0,0.1,869692034319237120
2/19/17,Roll Safe,56.0,7.0,826511751151771649
2/19/17,White Guy Blinking,100.0,17.0,832939284948779010
2/19/17,Meryl Streep Singing,1.0,0.1,843514431590031366
2/19/17,"Kendrick Lamar ""DAMN"" Cover",9.0,0.1,851798361841840129
2/19/17,Kellyanne Conway on the Couch,0.1,0.1,836402961030881280
2/19/17,What Redbone Sounds Like,1.0,0.1,863645128929361920
2/19/17,Mocking Spongebob,0.1,0.1,861717771859755008
2/19/17,The Future Liberals Want,0.1,0.1,837316461077069824
2/19/17,Expanding Brain,56.0,1.0,831329672558424064
2/19/17,The Floor Is,1.0,0.1,724263091383484416
2/19/17,Kendall Jenner's Pepsi Ad,3.0,0.1,849404357485481984
2/19/17,Fidget Spinners,1.0,0.1,865601318483746817
2/19/17,Pennywise Dancing,1.0,0.1,908437160407257088
2/19/17,"Homeboy's gonna, like, get it",0.1,0.1,916988637866229761
2/19/17,Trump's Glowing Orb,3.0,0.1,866390578258464770
2/19/17,George Bush's Poncho,2.0,0.1,822501259164995584
2/19/17,BBC Dad,1.0,0.1,840208087118151681
2/19/17,Trump and Pope Francis,0.1,0.1,867295516362776576
2/19/17,#GetOutChallenge,15.0,4.0,838459143161851906
2/19/17,Tyrese Crying,1.0,0.1,926294316183584768
2/19/17,Covfefe,0.1,0.1,869897666741755905
2/19/17,Monkey Haircut,0.1,0.1,913097760903172097
